ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
1,2,MQTT,27,1,0.00,0.00,0.00
1,2,MQTT,28,1,0.00,7.75,50.35
1,2,MQTT,29,1,0.00,10.56,10.56
1,3,Mine,1,5,0.00,0.92,48.93
1,3,Mine,2,14,0.30,2.69,49.27
1,3,Mine,3,29,0.90,5.75,44.32
1,3,Mine,4,49,0.90,5.23,30.65
1,3,Mine,5,57,0.80,12.23,75.53
1,3,Mine,6,75,3.30,60.07,81.02
1,3,Mine,7,97,3.20,90.71,71.13
1,3,Mine,8,129,4.40,150.32,139.96
1,3,Mine,9,162,4.10,78.17,148.15
1,3,Mine,10,178,4.30,144.60,173.28
1,3,Mine,11,213,4.40,145.40,129.71
1,3,Mine,12,247,4.30,143.94,110.11
1,3,Mine,13,283,4.40,157.46,120.61
1,3,Mine,14,313,4.20,59.96,63.77
1,3,Mine,15,316,2.70,45.82,34.50
1,3,Mine,16,346,4.50,141.35,107.36
1,3,Mine,17,383,4.50,158.73,120.84
1,3,Mine,18,416,4.30,56.99,43.61
1,3,Mine,19,439,4.40,129.48,98.37
1,3,MQTT,1,1,0.00,177.13,183.76
1,3,MQTT,2,1,2.50,41.46,43.38
1,3,MQTT,3,1,8.80,532.61,293.32
1,3,MQTT,4,1,8.40,530.27,322.19
1,3,MQTT,5,1,10.30,749.24,448.96
1,3,MQTT,6,1,12.00,741.61,448.22
1,3,MQTT,7,1,10.70,750.35,449.05
1,3,MQTT,8,1,11.10,750.09,459.52
1,3,MQTT,9,1,9.30,650.76,385.24
1,3,MQTT,10,1,12.00,745.83,449.03
1,3,MQTT,11,1,12.40,804.62,501.93
1,3,MQTT,12,1,11.80,910.76,510.03
1,3,MQTT,13,1,10.20,692.46,428.85
1,3,MQTT,14,1,11.70,805.05,477.85
1,3,MQTT,15,1,11.10,762.80,440.75
1,3,MQTT,16,1,11.20,749.84,439.96
1,3,MQTT,17,1,11.80,861.15,511.49
1,3,MQTT,18,1,11.00,801.95,477.92
1,3,MQTT,19,1,9.90,640.85,382.41
1,3,MQTT,20,1,11.10,808.81,508.04
1,3,MQTT,21,1,10.00,750.93,421.02
1,3,MQTT,22,1,12.10,803.31,481.79
1,3,MQTT,23,1,12.30,802.16,481.87
1,3,MQTT,24,1,10.30,650.95,378.75
1,3,MQTT,25,1,11.10,752.12,448.97
1,3,MQTT,26,1,12.00,781.09,454.44
1,3,MQTT,27,1,11.00,749.64,471.40
1,3,MQTT,28,1,12.40,746.40,428.97
1,3,MQTT,29,1,12.10,757.58,459.96
2,1,Mine,1,1,0.00,0.00,0.00
2,1,Mine,2,1,0.00,0.00,0.00
2,1,Mine,3,1,0.00,0.96,0.96
2,1,Mine,4,1,0.00,0.95,57.15
2,1,Mine,5,1,0.00,0.00,0.00
2,1,Mine,6,1,0.00,0.00,0.00
2,1,Mine,7,1,0.00,0.00,0.00
2,1,Mine,8,1,0.00,0.00,0.00
2,1,Mine,9,1,0.00,0.00,0.96
2,1,Mine,10,1,0.00,0.00,0.00
2,1,Mine,11,1,0.00,0.00,0.00
2,1,Mine,12,1,0.00,3.84,5.77
2,1,Mine,13,1,0.00,0.00,0.00
2,1,Mine,14,1,0.00,0.00,0.00
2,1,Mine,15,1,0.00,0.00,0.96
2,1,Mine,16,1,0.00,0.00,0.00
2,1,Mine,17,1,0.00,0.00,0.00
2,1,Mine,18,1,0.00,0.00,0.00
2,1,Mine,19,1,0.00,0.96,0.96
2,1,Mine,20,1,0.00,0.00,0.00
2,1,Mine,21,1,0.00,0.00,0.00
2,1,Mine,22,1,0.00,0.00,0.96
2,1,Mine,23,1,0.00,0.00,0.00
2,1,Mine,24,1,0.00,0.00,0.96
2,1,Mine,25,1,0.00,0.00,0.00
2,1,Mine,26,1,0.00,0.00,0.00
2,1,Mine,27,1,0.00,0.00,0.00
2,1,Mine,28,1,0.00,0.96,0.00
2,1,Mine,29,1,0.00,0.00,0.00
2,1,MQTT,1,1,0.00,0.00,0.00
2,1,MQTT,2,1,0.00,0.00,0.00
2,1,MQTT,3,1,0.00,0.00,0.00
2,1,MQTT,4,1,0.00,0.00,0.00
2,1,MQTT,5,1,0.00,0.00,0.00
2,1,MQTT,6,1,0.00,15.21,56.08
2,1,MQTT,7,1,0.00,7.70,9.63
2,1,MQTT,8,1,0.00,6.71,9.59
2,1,MQTT,9,1,0.00,6.69,8.60
2,1,MQTT,10,1,0.00,13.42,54.63
2,1,MQTT,11,1,0.00,16.28,24.90
2,1,MQTT,12,1,0.00,17.19,53.47
2,1,MQTT,13,1,0.00,9.63,40.45
2,1,MQTT,14,1,0.00,3.85,11.55
2,1,MQTT,15,1,0.00,3.82,86.04
2,1,MQTT,16,1,0.00,4.76,110.44
2,1,MQTT,17,1,0.00,2.88,80.73
2,1,MQTT,18,1,0.00,0.00,0.96
2,1,MQTT,19,1,0.00,2.88,95.93
2,1,MQTT,20,1,0.00,0.00,0.96
2,1,MQTT,21,1,0.00,0.96,0.00
2,1,MQTT,22,1,0.00,0.00,0.96
2,1,MQTT,23,1,0.00,0.96,0.96
2,1,MQTT,24,1,0.00,0.96,0.96
2,1,MQTT,25,1,0.00,1.92,23.05
2,1,MQTT,26,1,0.00,0.96,26.98
2,1,MQTT,27,1,0.00,0.00,0.00
2,1,MQTT,28,1,0.00,0.00,0.00
2,1,MQTT,29,1,0.00,0.00,0.00
2,2,Mine,1,4,0.00,0.00,3.73
2,2,Mine,2,10,0.30,4.66,7.46
2,2,Mine,3,35,1.10,21.00,22.82
2,2,Mine,4,62,1.40,26.12,26.12
2,2,Mine,5,68,0.80,6.97,8.71
2,2,Mine,6,90,2.20,36.78,30.65
2,2,Mine,7,119,2.10,46.39,40.48
2,2,Mine,8,144,1.90,44.41,37.71
2,2,Mine,9,158,1.40,28.79,23.04
2,2,Mine,10,161,0.20,17.02,16.07
2,2,Mine,11,161,0.00,0.00,0.00
2,2,Mine,12,161,0.00,0.00,0.00
2,2,Mine,13,161,0.00,0.95,0.00
2,2,Mine,14,161,0.00,0.00,0.00
2,2,Mine,15,161,0.00,0.00,0.00
2,2,Mine,16,161,0.00,0.00,0.00
2,2,Mine,17,161,0.00,0.00,0.00
2,2,Mine,18,161,0.00,0.00,0.00
2,2,Mine,19,161,0.00,0.00,0.95
2,2,Mine,20,161,0.00,0.00,0.00
2,2,Mine,21,161,0.00,0.00,0.00
2,2,Mine,22,161,0.00,0.00,0.00
2,2,Mine,23,161,0.00,0.95,0.00
2,2,Mine,24,161,0.00,0.00,0.00
2,2,Mine,25,161,0.00,0.00,0.00
2,2,Mine,26,161,0.00,0.00,0.00
2,2,Mine,27,161,0.00,6.63,60.60
2,2,Mine,28,161,0.00,0.94,0.00
2,2,MQTT,1,1,0.00,4.76,8.56
2,2,MQTT,2,1,0.60,18.16,9.56
2,2,MQTT,3,1,3.20,158.86,100.48
2,2,MQTT,4,1,3.10,147.03,93.56
2,2,MQTT,5,1,3.70,171.44,110.76
2,2,MQTT,6,1,3.90,176.43,109.31
2,2,MQTT,7,1,3.00,130.26,82.37
2,2,MQTT,8,1,0.90,60.50,48.02
2,2,MQTT,9,1,0.00,0.00,0.00
2,2,MQTT,10,1,0.00,0.00,0.00
2,2,MQTT,11,1,0.00,0.00,0.00
2,2,MQTT,12,1,0.00,0.00,0.00
2,2,MQTT,13,1,0.00,0.00,0.00
2,2,MQTT,14,1,0.00,0.00,0.00
2,2,MQTT,15,1,0.00,0.96,0.96
2,2,MQTT,16,1,0.00,0.95,0.00
2,2,MQTT,17,1,0.00,0.00,0.96
2,2,MQTT,18,1,0.00,0.96,0.00
2,2,MQTT,19,1,0.00,0.00,0.00
2,2,MQTT,20,1,0.00,3.84,7.68
2,2,MQTT,21,1,0.00,0.00,0.00
2,2,MQTT,22,1,0.00,0.96,0.00
2,2,MQTT,23,1,0.00,0.00,0.00
2,2,MQTT,24,1,0.00,0.00,0.00
2,2,MQTT,25,1,0.00,0.00,0.00
2,2,MQTT,26,1,0.00,0.00,0.00
2,2,MQTT,27,1,0.00,0.00,0.96
2,2,MQTT,28,1,0.00,0.00,0.00
2,2,MQTT,29,1,0.00,0.00,0.00
2,3,Mine,1,29,0.00,7.36,55.64
2,3,Mine,2,44,0.30,1.54,28.41
2,3,Mine,3,65,0.40,3.56,27.75
2,3,Mine,4,83,0.20,5.12,48.68
2,3,Mine,5,105,4.30,81.64,73.42
2,3,Mine,6,133,4.80,35.55,33.91
2,3,Mine,7,145,6.00,75.69,57.03
2,3,Mine,8,168,6.20,154.71,132.90
2,3,Mine,9,204,6.40,206.21,156.42
2,3,Mine,10,234,6.40,178.27,134.07
2,3,Mine,11,273,6.50,195.27,147.04
2,3,Mine,12,314,6.50,195.73,162.22
2,3,Mine,13,345,6.50,137.68,103.26
2,3,Mine,14,381,6.40,110.45,83.57
2,3,Mine,15,406,6.50,195.83,148.91
2,3,Mine,16,449,6.50,202.01,152.08
2,3,MQTT,1,1,0.00,166.66,177.08
2,3,MQTT,2,1,1.90,16.29,15.33
2,3,MQTT,3,1,8.40,419.47,244.05
2,3,MQTT,4,1,10.10,641.72,384.65
2,3,MQTT,5,1,10.60,736.75,427.60
2,3,MQTT,6,1,11.30,761.67,449.90
2,3,MQTT,7,1,10.80,845.38,492.10
2,3,MQTT,8,1,11.50,743.46,448.19
2,3,MQTT,9,1,9.70,579.30,368.39
2,3,MQTT,10,1,11.40,899.87,501.10
2,3,MQTT,11,1,12.10,755.34,455.14
2,3,MQTT,12,1,10.90,752.12,442.20
2,3,MQTT,13,1,10.80,750.11,431.38
2,3,MQTT,14,1,11.30,655.69,408.97
2,3,MQTT,15,1,8.20,572.29,315.81
2,3,MQTT,16,1,10.20,742.60,454.02
2,3,MQTT,17,1,10.80,703.68,453.12
2,3,MQTT,18,1,8.80,586.72,316.73
2,3,MQTT,19,1,8.60,537.87,338.45
2,3,MQTT,20,1,10.20,701.12,414.12
2,3,MQTT,21,1,8.80,596.25,336.84
2,3,MQTT,22,1,8.20,591.30,345.57
2,3,MQTT,23,1,9.00,590.10,358.07
2,3,MQTT,24,1,5.60,416.43,241.55
2,3,MQTT,25,1,11.30,644.15,381.68
2,3,MQTT,26,1,11.20,800.82,468.02
2,3,MQTT,27,1,3.80,244.44,177.60
2,3,MQTT,28,1,9.40,696.95,380.24
2,3,MQTT,29,1,10.40,692.07,411.03
3,1,Mine,1,1,0.00,0.00,0.00
3,1,Mine,2,1,0.00,0.00,0.00
3,1,Mine,3,1,0.00,0.00,0.00
3,1,Mine,4,1,0.00,0.00,0.00
3,1,Mine,5,1,0.00,0.00,0.00
3,1,Mine,6,1,0.00,0.00,0.00
3,1,Mine,7,1,0.00,0.00,0.00
3,1,Mine,8,1,0.00,0.96,0.00
3,1,Mine,9,1,0.00,0.00,0.00
3,1,Mine,10,1,0.00,0.00,0.00
3,1,Mine,11,1,0.00,0.00,0.00
3,1,Mine,12,1,0.00,1.91,1.91
3,1,Mine,13,1,0.00,0.00,0.00
3,1,Mine,14,1,0.00,0.00,0.00
3,1,Mine,15,1,0.00,0.00,0.00
3,1,Mine,16,1,0.00,0.00,0.00
3,1,Mine,17,1,0.00,0.00,0.00
3,1,Mine,18,1,0.00,0.00,0.00
3,1,Mine,19,1,0.00,0.00,0.00
3,1,Mine,20,1,0.00,0.00,0.96
3,1,Mine,21,1,0.00,0.00,0.00
3,1,Mine,22,1,0.00,0.96,0.00
3,1,Mine,23,1,0.00,0.00,0.00
3,1,Mine,24,1,0.00,0.00,0.00
3,1,Mine,25,1,0.00,11.57,54.97
