ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
1,1,MQTT,27,1,0.0,0.0,0.0
1,1,MQTT,28,1,0.0,0.96,0.96
1,1,MQTT,29,1,0.0,0.0,0.0
2,1,MQTT,1,1,0.0,0.0,0.0
2,1,MQTT,2,1,0.0,0.0,0.0
2,1,MQTT,3,1,0.0,0.0,0.0
2,1,MQTT,4,1,0.0,9.57,0.96
2,1,MQTT,5,1,0.0,4.85,3.88
2,1,MQTT,6,1,0.0,0.0,0.96
2,1,MQTT,7,1,0.0,0.0,0.0
2,1,MQTT,8,1,0.0,0.0,0.0
2,1,MQTT,9,1,0.0,2.89,4.82
2,1,MQTT,10,1,0.0,0.0,0.0
2,1,MQTT,11,1,0.0,0.0,0.0
2,1,MQTT,12,1,0.0,0.0,0.0
2,1,MQTT,13,1,0.0,0.0,0.0
2,1,MQTT,14,1,0.0,0.96,1.92
2,1,MQTT,15,1,0.0,0.0,0.0
2,1,MQTT,16,1,0.0,0.0,0.0
2,1,MQTT,17,1,0.0,0.0,0.0
2,1,MQTT,18,1,0.0,0.96,0.0
2,1,MQTT,19,1,0.0,0.0,0.96
2,1,MQTT,20,1,0.0,0.0,0.0
2,1,MQTT,21,1,0.0,0.0,0.0
2,1,MQTT,22,1,0.0,0.0,0.96
2,1,MQTT,23,1,0.0,0.0,0.0
2,1,MQTT,24,1,0.0,0.0,0.0
2,1,MQTT,25,1,0.0,0.96,0.0
2,1,MQTT,26,1,0.0,4.81,8.66
2,1,MQTT,27,1,0.0,12.47,23.02
2,1,MQTT,28,1,0.0,16.23,42.96
2,1,MQTT,29,1,0.0,13.43,26.86
3,1,MQTT,1,1,0.0,0.96,0.0
3,1,MQTT,2,1,0.0,0.0,0.0
3,1,MQTT,3,1,0.0,0.0,0.96
3,1,MQTT,4,1,0.0,0.0,0.0
3,1,MQTT,5,1,0.0,11.53,2.88
3,1,MQTT,6,1,0.0,35.5,115.13
3,1,MQTT,7,1,0.0,10.55,14.39
3,1,MQTT,8,1,0.0,8.62,8.62
3,1,MQTT,9,1,0.0,8.6,20.06
3,1,MQTT,10,1,0.0,16.49,72.73
3,1,MQTT,11,1,0.0,16.41,32.81
3,1,MQTT,12,1,0.0,10.53,23.93
3,1,MQTT,13,1,0.0,23.03,59.5
3,1,MQTT,14,1,0.0,5.76,30.72
3,1,MQTT,15,1,0.0,4.79,93.89
3,1,MQTT,16,1,0.0,4.81,103.95
3,1,MQTT,17,1,0.0,2.88,81.68
3,1,MQTT,18,1,0.0,2.89,98.25
3,1,MQTT,19,1,0.0,0.0,0.96
3,1,MQTT,20,1,0.0,0.96,0.96
3,1,MQTT,21,1,0.0,0.96,0.96
3,1,MQTT,22,1,0.0,0.0,0.96
3,1,MQTT,23,1,0.0,0.96,23.1
3,1,MQTT,24,1,0.0,12.45,32.57
3,1,MQTT,25,1,0.0,0.0,0.0
3,1,MQTT,26,1,0.0,0.0,0.0
3,1,MQTT,27,1,0.0,0.0,0.0
3,1,MQTT,28,1,0.0,0.0,0.96
3,1,MQTT,29,1,0.0,0.0,0.0
1,2,Mine,1,5,0.0,1.87,8.41
1,2,Mine,2,10,0.3,1.84,5.53
1,2,Mine,3,16,0.5,0.9,4.48
1,2,Mine,4,20,0.8,1.75,3.5
1,2,Mine,5,24,1.0,0.86,4.28
1,2,Mine,6,34,1.6,27.55,22.38
